"ZIP
Code",HUD Area Code,HUD Metro Fair Market Rent Area Name,"SAFMR
0BR","SAFMR
1BR","SAFMR
2BR","SAFMR
3BR","SAFMR
4BR"
76511,METRO12420M12420,"Austin-Round Rock, TX MSA",$890,"$1,030","$1,230","$1,590","$1,920"
76527,METRO12420M12420,"Austin-Round Rock, TX MSA",$890,"$1,030","$1,230","$1,590","$1,920"
76530,METRO12420M12420,"Austin-Round Rock, TX MSA",$890,"$1,030","$1,230","$1,590","$1,920"
76537,METRO12420M12420,"Austin-Round Rock, TX MSA",$940,"$1,070","$1,270","$1,640","$1,950"
76571,METRO12420M12420,"Austin-Round Rock, TX MSA",$890,"$1,030","$1,230","$1,590","$1,920"
76573,METRO12420M12420,"Austin-Round Rock, TX MSA",$890,"$1,030","$1,230","$1,590","$1,920"
76574,METRO12420M12420,"Austin-Round Rock, TX MSA",$890,"$1,030","$1,230","$1,590","$1,920"
76577,METRO12420M12420,"Austin-Round Rock, TX MSA",$890,"$1,030","$1,230","$1,590","$1,920"
76578,METRO12420M12420,"Austin-Round Rock, TX MSA",$890,"$1,030","$1,230","$1,590","$1,920"
78130,METRO12420M12420,"Austin-Round Rock, TX MSA",$840,"$1,010","$1,230","$1,600","$1,980"
78132,METRO12420M12420,"Austin-Round Rock, TX MSA",$850,"$1,020","$1,240","$1,610","$2,000"
78602,METRO12420M12420,"Austin-Round Rock, TX MSA",$890,"$1,030","$1,230","$1,590","$1,920"
78605,METRO12420M12420,"Austin-Round Rock, TX MSA","$1,080","$1,230","$1,460","$1,880","$2,250"
78606,METRO12420M12420,"Austin-Round Rock, TX MSA",$630,$760,$920,"$1,180","$1,480"
78610,METRO12420M12420,"Austin-Round Rock, TX MSA","$1,060","$1,210","$1,430","$1,840","$2,200"
78612,METRO12420M12420,"Austin-Round Rock, TX MSA","$1,110","$1,270","$1,500","$1,930","$2,310"
78613,METRO12420M12420,"Austin-Round Rock, TX MSA","$1,140","$1,300","$1,540","$1,980","$2,370"
78615,METRO12420M12420,"Austin-Round Rock, TX MSA",$890,"$1,030","$1,230","$1,590","$1,920"
78616,METRO12420M12420,"Austin-Round Rock, TX MSA",$890,"$1,030","$1,230","$1,590","$1,920"
78617,METRO12420M12420,"Austin-Round Rock, TX MSA","$1,140","$1,300","$1,540","$1,980","$2,370"
78619,METRO12420M12420,"Austin-Round Rock, TX MSA","$1,120","$1,280","$1,510","$1,940","$2,320"
78620,METRO12420M12420,"Austin-Round Rock, TX MSA",$970,"$1,110","$1,310","$1,690","$2,020"
